#{"t_start": 1779209359.175848, "env_id": "None"}
r,l,t
138.2,34,31.378402
137.0,36,31.38344
146.45,23,31.386679
146.3,20,31.389681
146.25,19,31.392387
146.3,20,31.395204
142.9,20,31.39803
147.05,19,31.40082
147.0,18,31.403389
145.25,21,31.40645
141.95,23,31.409635
147.15,21,31.412555
145.05,21,31.415441
144.95,19,31.418048
145.95,19,31.420665
136.0,32,31.425196
101.95,65,31.43423
143.2,22,31.437317
142.9,22,31.440572
147.1,20,31.443376
146.05,21,31.446378
118.8,44,31.452506
144.95,19,31.455277
143.9,20,31.79103
146.25,19,31.793748
141.95,25,31.797213
143.9,20,31.800173
141.95,23,31.803333
139.95,31,31.807946
144.95,21,31.810955
146.25,19,31.813649
144.9,22,31.816784
147.05,19,31.81949
141.95,25,31.823262
147.05,19,31.825991
143.0,22,31.829108
144.05,25,31.832602
146.05,21,31.835535
146.35,21,31.838517
140.15,23,31.841725
146.0,20,31.844543
142.95,21,31.847505
146.25,19,31.850157
146.25,19,31.852809
147.0,18,31.855447
146.3,20,31.858323
147.0,18,31.860856
142.05,23,31.864073
147.0,18,31.866652
145.95,19,31.86934
143.85,21,31.872389
141.3,26,31.876099
147.1,20,31.878949
137.8,30,31.883229
144.3,22,31.886369
146.0,22,31.889509
145.35,21,31.892525
145.0,20,31.895389
144.95,23,31.898676
142.85,21,31.901684
146.3,20,31.904557
140.9,26,31.908264
138.0,32,31.912816
145.05,23,31.916114
147.05,19,31.918803
145.3,20,31.921659
147.0,18,31.924275
147.0,18,31.926838
144.95,23,31.930122
142.05,27,31.933962
147.0,18,31.936527
144.2,20,31.939378
145.0,20,31.942236
145.95,19,31.944926
147.05,19,31.947638
146.4,22,31.950753
133.95,27,31.954565
145.0,22,31.957712
145.05,21,31.960672
144.05,25,31.964203
147.1,20,31.967056
139.9,28,31.971027
143.9,20,31.97391
146.3,20,31.976751
147.0,18,31.979321
147.05,19,31.982013
143.9,22,31.985178
145.95,19,31.987868
143.95,21,31.990847
